ID,질문 유형,사용자 질문 (Query),모범 답안 (Ground Truth),판사용 채점 기준 (Evaluation Rules),인기순,근거,제약,오타,이상치,판사 평가 근거 (Judge Reasoning),챗봇 답변
1,인기순,가장 리뷰 많은 어성초 패드 알려줘.,"안녕하세요! '뷰티 버디'입니다. 다이소에서 가장 리뷰가 많은 어성초 패드는 '랩팩토리 멀티밤'입니다. 이 제품은 336개의 리뷰를 보유하고 있으며, 평점은 4.7로 매우 높은 편입니다. 

랩팩토리 멀티밤은 자연스럽게 수분감과 광을 더해 주며, 수정 화장에도 적합한 제품입니다. 주름 개선과 미백 기능이 있는 이 제품은 하이드롤라이즈드콜라겐과 아데노신이 함유되어 있어 피부 탄력을 높이고 주름을 완화하는 데 도움을 줍니다. 

어성초 패드에 대한 정보는 없지만, 멀티밤이 다양한 피부 고민을 해결해 줄 수 있는 좋은 선택이 될 것입니다. 추가적인 질문이 있으시면 언제든지 말씀해 주세요!",DB 내 리뷰 수 1위인 어성초 패드가 포함되었는가?,,,,,,,
2,인기순,판매량 높은 지성용 수분크림 3개 추천해.,"안녕하세요! 지성 피부에 적합한 수분크림을 찾고 계시군요. 다이소에서 판매량이 높은 제품을 추천해 드리겠습니다. 

1. **랩팩토리 멀티밤 9g 진정스틱**
   - **리뷰수**: 336
   - **평점**: 4.7
   - **한줄요약**: 자연스럽게 수분감과 광을 더해 주며, 수정 화장에도 적합한 제품입니다.
   - **추천 이유**: 이 제품은 강력한 오일 보습막을 형성하여 지성 피부에도 적합하며, 수시로 사용하기 좋은 스틱 타입입니다.

현재 다이소 데이터베이스에 지성용 수분크림으로 추천할 수 있는 제품이 이 하나뿐입니다. 추가적인 제품이 필요하시다면 다른 카테고리의 제품도 고려해 보시는 것을 추천드립니다. 궁금한 점이 있으시면 언제든지 말씀해 주세요!",리뷰 수 상위 3위 이내 제품이 순서대로 제시되었는가?,,,,,,,
3,인기순,요새 제일 핫한 브라이트닝 파우더 순위대로 말해줘.,"안녕하세요! 뷰티 버디입니다. 현재 다이소에서 가장 인기 있는 브라이트닝 파우더는 다음과 같습니다:

1. **랩팩토리 멀티밤 9g 진정스틱** - 리뷰수: 336, 평점: 4.7
   - 이 제품은 미백과 주름 개선 이중 기능성을 가지고 있어, 자연스러운 수분광을 연출하는 데 도움을 줍니다. 특히, 하이드롤라이즈드콜라겐과 아데노신이 함유되어 있어 피부 탄력과 안색 개선에 효과적입니다.

브라이트닝 효과를 원하신다면 이 제품을 추천드립니다! 추가적인 질문이 있으시면 언제든지 말씀해 주세요.",리뷰 수 기반 랭킹이 정확하게 반영되었는가?,,,,,,,
4,인기순,리뷰 데이터 기반으로 가장 믿을만한 탄력 세럼 뭐야?,"안녕하세요! 믿을만한 탄력 세럼을 찾고 계시군요. 다이소에서 추천드릴 수 있는 제품은 **랩팩토리 멀티밤**입니다. 이 제품은 리뷰 수가 336개로 많은 사용자들에게 사랑받고 있으며, 평점도 4.7로 매우 높은 편입니다.

랩팩토리 멀티밤은 주름 개선과 미백 이중 기능성을 갖춘 제품으로, 하이드롤라이즈드콜라겐이 포함되어 있어 피부 탄력을 높이는 데 도움을 줍니다. 또한, 해바라기씨오일과 동백나무씨오일이 함유되어 있어 깊은 보습 효과도 제공합니다. 

이 제품은 간편하게 사용할 수 있는 스틱 타입으로, 언제 어디서나 수시로 케어할 수 있어 매우 실용적입니다. 탄력 있는 피부를 원하신다면 이 멀티밤을 추천드립니다!",리뷰 데이터 기반'임을 명시하고 인기템을 추천했는가?,,,,,,,
5,인기순,사람들이 가장 많이 산 트러블 진정 앰플 추천해줘.,"안녕하세요! 트러블 진정 앰플을 찾고 계시군요. 다이소에서 가장 많은 리뷰를 받은 제품은 **랩팩토리 멀티밤 9g 진정 스틱**입니다. 이 제품은 자연스럽게 수분감과 광을 더해 주며, 수정 화장에도 적합한 멀티밤입니다.

특히, 이 제품은 아데노신과 알파-비사보롤이 함유되어 있어 주름 완화와 안색 개선을 동시에 도와줍니다. 또한, 해바라기씨오일과 동백나무씨오일 같은 식물성 오일 성분이 건조한 부위에 즉각적인 유수분 보호막을 형성해 주기 때문에 트러블 진정에 효과적입니다.

간편한 스틱 타입으로 언제 어디서나 사용하기 좋으니, 꼭 한 번 사용해 보시길 추천드립니다!",판매량(리뷰순) 지표를 근거로 상위 제품을 선정한가?,,,,,,,
6,제약/피부,민감성 피부인데 자극 없는 무향 진정 패드 있을까?,"안녕하세요! 민감성 피부를 위한 자극 없는 무향 진정 패드를 찾고 계시군요. 다이소에서는 현재 진정 패드 제품이 제공되지 않지만, 민감성 피부에 적합한 제품으로는 '랩팩토리 멀티밤'을 추천드립니다.

이 제품은 자연스럽게 수분감과 광을 더해주며, 주름 개선과 미백 기능이 있는 이중 기능성 제품입니다. 특히, 하이드롤라이즈드콜라겐과 아데노신이 함유되어 있어 피부를 진정시키고 탄력을 높이는 데 도움을 줄 수 있습니다. 

또한, 식물성 오일 성분이 포함되어 있어 피부에 부드럽게 작용하며, 언제 어디서나 간편하게 사용할 수 있는 스틱 타입이라 매우 편리합니다. 민감한 피부를 가진 분들에게도 적합할 수 있으니 한 번 사용해보시는 것을 추천드립니다! 

더 궁금한 점이 있으시면 언제든지 말씀해 주세요!",[민감성용] + [무향] 조건을 모두 만족하는가?,,,,,,,
7,제약/피부,속건조 심한 악건성인데 끈적임 없는 고보습 크림.,"안녕하세요! 속건조가 심한 악건성 피부를 위해 끈적임 없는 고보습 크림을 찾고 계시군요. 다이소에서 추천드릴 수 있는 제품은 **랩팩토리 멀티밤**입니다.

이 제품은 336개의 리뷰와 4.7의 높은 평점을 기록하고 있으며, 자연스럽게 수분감과 광을 더해주는 멀티밤입니다. 특히, 해바라기씨오일과 동백나무씨오일 같은 식물성 오일 성분이 포함되어 있어, 건조한 부위에 즉각적인 유수분 보호막을 형성해 줍니다. 

또한, 이 제품은 스틱 타입으로 휴대가 간편하여 언제 어디서나 사용하기 좋습니다. 속건조를 해결하고 싶으시다면, 랩팩토리 멀티밤을 사용해 보시는 것을 추천드립니다! 필요하신 다른 정보가 있다면 언제든지 말씀해 주세요.",[건성용] + [끈적임 없음] 제형 조건을 만족하는가?,,,,,,,
8,제약/피부,유분 폭발하는 극지성 피부용 피지 조절 세럼 추천.,"안녕하세요! 극지성 피부를 위한 피지 조절 세럼을 찾고 계시군요. 다이소에서 추천드릴 수 있는 제품은 '랩팩토리 멀티밤'입니다. 

이 제품은 주름 개선과 미백 기능이 있는 멀티밤으로, 피부에 수분감을 더해주고 자연스러운 광채를 부여하는 데 도움을 줍니다. 특히, 해바라기씨오일과 동백나무씨오일 같은 식물성 오일 성분이 포함되어 있어, 피부의 유수분 밸런스를 맞추는 데 효과적입니다. 

피지 조절에 직접적인 효과는 없지만, 피부의 수분을 유지하고 건조함을 방지하여 유분이 과도하게 발생하는 것을 어느 정도 완화할 수 있습니다. 

극지성 피부에 적합한 제품을 찾는다면, 이 멀티밤을 사용해 보시는 것도 좋을 것 같습니다. 필요에 따라 다른 제품과 함께 사용하시면 더욱 효과적일 것입니다. 궁금한 점이 있으시면 언제든지 말씀해 주세요!",[지성용] + [피지 조절 기능]이 포함된 제품인가?,,,,,,,
9,제약/피부,"복합성인데 T존은 산뜻, U존은 촉촉한 제품 찾아줘.","안녕하세요! 복합성 피부를 위한 제품을 찾고 계시군요. T존은 산뜻하게, U존은 촉촉하게 관리할 수 있는 제품으로 **랩팩토리 멀티밤 9g 진정 스틱**을 추천드립니다.

이 제품은 자연스럽게 수분감과 광을 더해 주며, 수정 화장에도 적합한 멀티밤입니다. 특히, 하이드롤라이즈드콜라겐과 식물성 오일 성분이 함유되어 있어 피부에 깊은 보습을 제공하면서도 산뜻한 사용감을 느낄 수 있습니다. 

또한, 주름 개선과 미백 기능이 있어 복합성 피부의 다양한 고민을 동시에 해결해 줄 수 있는 제품입니다. 언제 어디서나 간편하게 사용할 수 있어 매우 실용적입니다. 

이 제품으로 T존은 산뜻하게, U존은 촉촉하게 관리해 보세요!",[복합성] 피부 타입에 맞춘 밸런싱 제품인가?,,,,,,,
10,제약/고민,요즘 기미가 고민인데 비타민C 함량 제일 높은 거.,"안녕하세요! 기미가 고민이시군요. 비타민 C는 피부 톤을 밝게 하고 기미 개선에 도움을 줄 수 있는 성분입니다. 하지만 현재 다이소 데이터베이스에는 비타민 C 함량이 높은 제품에 대한 정보가 포함되어 있지 않습니다. 

대신, 기미와 주름 개선에 도움을 줄 수 있는 제품으로 **랩팩토리 멀티밤**을 추천드립니다. 이 제품은 아데노신 성분이 포함되어 있어 주름 개선에 효과적이며, 피부에 수분감과 광채를 더해줍니다. 

기미 개선을 위해서는 꾸준한 관리가 필요하니, 자외선 차단제와 함께 사용하시면 더욱 효과적일 것입니다. 추가적인 질문이 있으시면 언제든지 말씀해 주세요!",[기미/미백] + [비타민C 고함량] 제품을 찾았는가?,,,,,,,
