ID,질문 유형,사용자 질문 (Query),모범 답안 (Ground Truth),판사용 채점 기준 (Evaluation Rules),인기순,근거,제약,오타,이상치,판사 평가 근거 (Judge Reasoning),챗봇 답변
1,인기순,가장 리뷰 많은 어성초 패드 알려줘.,"1. **첫 번째 추천: 어성초 진정 패드**
 - **이유:** 이 제품은 어성초 성분이 포함되어 있어 피부 진정에 효과적입니다. 또한, 피부 자극을 최소화하여 민감한 피부에도 적합합니다.
 - **실제 사용자 반응:**
 * 흡수력: 우수
 * 보습력: 뛰어남
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 500
 - **구매 링크:** [바로가기](https://example.com/product1)

2. **두 번째 추천: 어성초 수분 패드**
 - **특징:** 첫 번째 제품과 달리 수분 공급에 중점을 두고 있으며, 피부의 수분 밸런스를 유지하는 데 도움을 줍니다.
 - **실제 사용자 반응:**
 * 흡수력: 좋음
 * 보습력: 매우 좋음
 * 자극도: 낮음
 * 평점: 4.7 / 리뷰수: 300
 - **구매 링크:** [바로가기](https://example.com/product2)

3. **세 번째 추천: 어성초 각질 제거 패드**
 - **매력 포인트:** 각질 제거 기능이 있어 피부 결을 개선하고, 가성비가 뛰어난 제품입니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 좋음
 * 자극도: 중간
 * 평점: 4.5 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/product3)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 어성초 진정 패드입니다.""
 - 피부 진정과 자극 완화에 효과적인 이 제품을 통해 건강한 피부를 유지하시길 바랍니다!",DB 내 리뷰 수 1위인 어성초 패드가 포함되었는가?,,,,,,,
2,인기순,판매량 높은 지성용 수분크림 3개 추천해.,"1. **첫 번째 추천: [수분 가득 수분크림]**
 - **이유:** 이 제품은 지성 피부에 적합한 수분 공급을 강조하며, 가벼운 텍스처로 흡수력이 뛰어납니다. '상세정보'에 따르면, 피지 조절과 수분 유지에 효과적입니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 8/10
 * 자극도: 낮음
 * 평점: 4.5 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/product1)

2. **두 번째 추천: [지성 피부 전용 수분크림]**
 - **특징:** 첫 번째 제품보다 더 강력한 피지 조절 효과가 있으며, 오일 프리 포뮬러로 지성 피부에 최적화되어 있습니다. 또한, 피부 진정 효과도 포함되어 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 매우 빠름
 * 보습력: 9/10
 * 자극도: 낮음
 * 평점: 4.7 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/product2)

3. **세 번째 추천: [가성비 좋은 수분크림]**
 - **매력 포인트:** 가격 대비 뛰어난 성능을 자랑하며, 대용량으로 경제적입니다. 수분 공급과 함께 피부 장벽 강화에 도움을 줍니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 7/10
 * 자극도: 낮음
 * 평점: 4.3 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/product3)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [지성 피부 전용 수분크림]입니다."" 이 제품은 뛰어난 피지 조절과 보습력을 제공하여 지성 피부에 최적화되어 있습니다. 사용해 보시고 피부 고민을 해결해 보세요!",리뷰 수 상위 3위 이내 제품이 순서대로 제시되었는가?,,,,,,,
3,인기순,요새 제일 핫한 브라이트닝 파우더 순위대로 말해줘.,"죄송하지만, 제공된 참조 문서가 없어서 특정 제품에 대한 정보를 제공할 수 없습니다. 하지만 일반적인 브라이트닝 파우더에 대한 추천을 원하신다면, 다음과 같은 형식으로 정보를 제공할 수 있습니다. 

1. **첫 번째 추천: [제품명]**
 - **이유:** 이 제품은 피부 톤을 고르게 하고 밝기를 증가시키는 성분이 포함되어 있어 브라이트닝 효과가 뛰어납니다. 
 - **실제 사용자 반응:**
 * 흡수력: [흡수력]
 * 보습력: [보습력]
 * 자극도: [자극도]
 * 평점: [평점] / 리뷰수: [리뷰수]
 - **구매 링크:** [바로가기](문서에_포함된_실제_URL)

2. **두 번째 추천: [제품명]**
 - **특징:** 첫 번째 제품과 비교했을 때, 이 제품은 추가적인 보습 성분이 포함되어 있어 건조한 피부에 더욱 적합합니다.
 - **실제 사용자 반응:**
 * 흡수력: [흡수력]
 * 보습력: [보습력]
 * 자극도: [자극도]
 * 평점: [평점] / 리뷰수: [리뷰수]
 - **구매 링크:** [바로가기](문서에_포함된_실제_URL)

3. **세 번째 추천: [제품명]**
 - **매력 포인트:** 이 제품은 가격 대비 성능이 뛰어나 가성비가 좋으며, 특별한 기능이 있어 사용하기 편리합니다.
 - **실제 사용자 반응:**
 * 흡수력: [흡수력]
 * 보습력: [보습력]
 * 자극도: [자극도]
 * 평점: [평점] / 리뷰수: [리뷰수]
 - **구매 링크:** [바로가기](문서에_포함된_실제_URL)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [제품명]입니다.""
 - 마무리 멘트

위와 같은 형식으로 정보를 제공할 수 있습니다. 특정 제품에 대한 정보가 필요하시다면, 참조 문서를 제공해 주시면 더욱 정확한 추천을 드릴 수 있습니다.",리뷰 수 기반 랭킹이 정확하게 반영되었는가?,,,,,,,
4,인기순,리뷰 데이터 기반으로 가장 믿을만한 탄력 세럼 뭐야?,"1. **첫 번째 추천: [탄력 세럼 A]**
 - **이유:** 이 제품은 피부 탄력을 높이는 성분이 포함되어 있으며, ""피부가 탱탱해지는 느낌""이라는 한줄요약이 이를 잘 설명합니다. 상세정보에서도 콜라겐과 히알루론산이 포함되어 있어 피부의 수분과 탄력을 동시에 개선할 수 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠름
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/productA)

2. **두 번째 추천: [탄력 세럼 B]**
 - **특징:** 첫 번째 제품보다 더 많은 리뷰 수와 높은 평점을 자랑합니다. 이 제품은 특히 ""피부가 부드러워진다""는 반응이 많아, 탄력뿐만 아니라 피부결 개선에도 효과적입니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 매우 우수
 * 자극도: 낮음
 * 평점: 4.7 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/productB)

3. **세 번째 추천: [탄력 세럼 C]**
 - **매력 포인트:** 가격 대비 성능이 뛰어나며, ""가성비 최고""라는 리뷰가 많습니다. 이 제품은 특히 예민한 피부에도 적합하여 자극이 적은 점이 매력적입니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 우수
 * 자극도: 매우 낮음
 * 평점: 4.5 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/productC)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [탄력 세럼 A]입니다."" 이 제품은 높은 평점과 리뷰 수를 바탕으로 신뢰할 수 있는 선택이며, 피부 탄력 개선에 효과적입니다. 피부 고민 해결에 도움이 되길 바랍니다!",리뷰 데이터 기반'임을 명시하고 인기템을 추천했는가?,,,,,,,
5,인기순,사람들이 가장 많이 산 트러블 진정 앰플 추천해줘.,"1. **첫 번째 추천: [트러블 진정 앰플 A]**
 - **이유:** 이 제품은 트러블 진정에 효과적인 성분이 포함되어 있으며, 사용 후 피부가 한층 더 맑아진다는 한줄요약이 있습니다. 상세정보에서도 여드름 완화와 피부 진정 효과를 강조하고 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠름
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/productA)

2. **두 번째 추천: [트러블 진정 앰플 B]**
 - **특징:** 첫 번째 제품보다 더 많은 리뷰 수를 보유하고 있으며, 평점도 높아 신뢰성이 높습니다. 이 제품은 특히 민감한 피부를 위한 성분이 강화되어 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.7 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/productB)

3. **세 번째 추천: [트러블 진정 앰플 C]**
 - **매력 포인트:** 가격 대비 성능이 뛰어나며, 가성비가 좋습니다. 이 제품은 트러블 완화뿐만 아니라 피부 톤 개선에도 도움을 준다는 점이 매력적입니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 보통
 * 자극도: 낮음
 * 평점: 4.5 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/productC)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [트러블 진정 앰플 A]입니다."" 이 제품은 뛰어난 성능과 높은 사용자 만족도를 바탕으로 트러블 진정에 효과적입니다. 피부 고민 해결에 도움이 되길 바랍니다!",판매량(리뷰순) 지표를 근거로 상위 제품을 선정한가?,,,,,,,
6,제약/피부,민감성 피부인데 자극 없는 무향 진정 패드 있을까?,"1. **첫 번째 추천: [진정 수딩 패드]**
 - **이유:** 이 제품은 민감성 피부를 위한 진정 효과가 뛰어난 성분으로 구성되어 있으며, 자극이 적고 무향으로 설계되어 있습니다. 사용 후 피부가 편안해진다는 리뷰가 많습니다.
 - **실제 사용자 반응:**
 * 흡수력: 우수
 * 보습력: 높음
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/product1)

2. **두 번째 추천: [수분 진정 패드]**
 - **특징:** 첫 번째 제품과 비교했을 때, 이 제품은 수분 공급에 더욱 중점을 두고 있으며, 피부의 수분 장벽을 강화하는 성분이 포함되어 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 좋음
 * 보습력: 매우 높음
 * 자극도: 낮음
 * 평점: 4.7 / 리뷰수: 120
 - **구매 링크:** [바로가기](https://example.com/product2)

3. **세 번째 추천: [무향 진정 패드]**
 - **매력 포인트:** 가격 대비 성능이 뛰어나며, 대용량으로 제공되어 가성비가 좋습니다. 민감한 피부를 위한 저자극 포뮬러로, 장기간 사용하기에 적합합니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 높음
 * 자극도: 매우 낮음
 * 평점: 4.5 / 리뷰수: 80
 - **구매 링크:** [바로가기](https://example.com/product3)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [진정 수딩 패드]입니다."" 이 제품은 민감성 피부에 최적화된 성분으로 구성되어 있어, 자극 없이 진정 효과를 제공하며, 많은 사용자들로부터 높은 평가를 받고 있습니다. 피부 고민 해결에 큰 도움이 될 것입니다.",[민감성용] + [무향] 조건을 모두 만족하는가?,,,,,,,
7,제약/피부,속건조 심한 악건성인데 끈적임 없는 고보습 크림.,"1. **첫 번째 추천: [고보습 수분 크림]**
 - **이유:** 이 제품은 ""속건조를 해결하는 고보습 효과""를 강조하며, 상세정보에서 ""끈적임 없이 피부에 빠르게 흡수된다""는 점이 특징입니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 뛰어난 보습
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/product1)

2. **두 번째 추천: [수분 충전 크림]**
 - **특징:** 첫 번째 제품보다 더 가벼운 제형으로, 여름철에도 사용하기 좋은 제품입니다. ""끈적임 없이 수분을 공급""하는 점이 매력적입니다.
 - **실제 사용자 반응:**
 * 흡수력: 매우 빠름
 * 보습력: 우수
 * 자극도: 보통
 * 평점: 4.5 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/product2)

3. **세 번째 추천: [저자극 보습 크림]**
 - **매력 포인트:** 가격 대비 뛰어난 성능을 자랑하며, ""민감한 피부에도 적합""하다는 점에서 가성비가 좋습니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 좋음
 * 자극도: 매우 낮음
 * 평점: 4.3 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/product3)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [고보습 수분 크림]입니다."" 이 제품은 속건조를 효과적으로 해결해주며, 끈적임 없이 빠르게 흡수되는 점이 특히 매력적입니다. 피부 고민에 맞는 최적의 선택이 될 것입니다.",[건성용] + [끈적임 없음] 제형 조건을 만족하는가?,,,,,,,
8,제약/피부,유분 폭발하는 극지성 피부용 피지 조절 세럼 추천.,"1. **첫 번째 추천: [피지 조절 세럼 A]**
 - **이유:** 이 제품은 피지 조절에 효과적인 성분이 포함되어 있으며, 피부의 유분을 조절하여 극지성 피부에 적합합니다. [상세정보]에 따르면, 모공 수축과 피지 분비 조절에 도움을 주는 성분이 포함되어 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 적당한 보습
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/productA)

2. **두 번째 추천: [피지 조절 세럼 B]**
 - **특징:** 첫 번째 제품보다 더 강력한 피지 조절 효과를 자랑하며, 여드름 예방에도 도움을 줍니다. [상세정보]에 따르면, 항염 성분이 포함되어 있어 피부 진정 효과도 기대할 수 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.5 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/productB)

3. **세 번째 추천: [피지 조절 세럼 C]**
 - **매력 포인트:** 가격 대비 성능이 뛰어나며, 대용량으로 가성비가 좋습니다. [상세정보]에 따르면, 지속적인 사용 시 피지 조절 효과가 더욱 두드러진다고 합니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 보통
 * 자극도: 낮음
 * 평점: 4.2 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/productC)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [피지 조절 세럼 A]입니다."" 이 제품은 뛰어난 피지 조절 효과와 높은 사용자 만족도를 자랑하며, 극지성 피부에 적합한 성분으로 구성되어 있습니다. 피부 고민 해결에 큰 도움이 될 것입니다.",[지성용] + [피지 조절 기능]이 포함된 제품인가?,,,,,,,
9,제약/피부,"복합성인데 T존은 산뜻, U존은 촉촉한 제품 찾아줘.","1. **첫 번째 추천: [수분 크림 A]**
 - **이유:** 이 제품은 T존의 산뜻함과 U존의 촉촉함을 동시에 제공하는 성분이 포함되어 있습니다. [한줄요약]에 따르면, ""가벼운 텍스처로 산뜻하게 흡수되며, 깊은 보습을 제공합니다."" 또한, [상세정보]에서 수분 공급과 유수분 밸런스를 맞추는 효능이 강조되어 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/productA)

2. **두 번째 추천: [수분 젤 B]**
 - **특징:** 첫 번째 제품보다 더 가벼운 젤 타입으로, 특히 T존의 유분을 조절하는 데 효과적입니다. [한줄요약]에 따르면, ""산뜻한 젤 타입으로 유분을 조절하며, 수분을 공급합니다."" 
 - **실제 사용자 반응:**
 * 흡수력: 매우 빠름
 * 보습력: 보통
 * 자극도: 낮음
 * 평점: 4.5 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/productB)

3. **세 번째 추천: [하이드레이팅 로션 C]**
 - **매력 포인트:** 가성비가 뛰어나며, 대용량으로 제공되어 경제적입니다. [한줄요약]에 따르면, ""가성비 좋은 대용량으로 온종일 촉촉함을 유지합니다.""
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.3 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/productC)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 [수분 크림 A]입니다."" 이 제품은 복합성 피부에 적합한 성분과 효능을 갖추고 있어 T존과 U존의 균형을 잘 맞춰줄 것입니다. 피부 고민에 맞는 최적의 선택이 되길 바랍니다!",[복합성] 피부 타입에 맞춘 밸런싱 제품인가?,,,,,,,
10,제약/고민,요즘 기미가 고민인데 비타민C 함량 제일 높은 거.,"1. **첫 번째 추천: 비타민C 세럼**
 - **이유:** 이 제품은 비타민C가 풍부하게 함유되어 있어 기미 개선에 효과적입니다. 한줄요약에서 ""기미와 잡티를 개선하는 데 도움을 준다""는 설명이 있습니다. 상세정보에서도 비타민C의 항산화 효과와 피부톤 개선에 대한 언급이 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 빠른 흡수
 * 보습력: 우수
 * 자극도: 낮음
 * 평점: 4.8 / 리뷰수: 150
 - **구매 링크:** [바로가기](https://example.com/product1)

2. **두 번째 추천: 비타민C 크림**
 - **특징:** 첫 번째 제품과는 달리 크림 형태로, 보습 효과가 더 뛰어나며 기미 개선과 함께 피부 보습을 동시에 제공합니다.
 - **실제 사용자 반응:**
 * 흡수력: 보통
 * 보습력: 매우 우수
 * 자극도: 낮음
 * 평점: 4.5 / 리뷰수: 200
 - **구매 링크:** [바로가기](https://example.com/product2)

3. **세 번째 추천: 비타민C 앰플**
 - **매력 포인트:** 가성비가 뛰어나며, 소량으로도 효과를 볼 수 있는 제품입니다. 기미 개선에 필요한 비타민C를 집중적으로 공급할 수 있습니다.
 - **실제 사용자 반응:**
 * 흡수력: 매우 빠름
 * 보습력: 보통
 * 자극도: 낮음
 * 평점: 4.3 / 리뷰수: 100
 - **구매 링크:** [바로가기](https://example.com/product3)

4. **종합 결론**
 - ""가장 추천드리는 베스트 아이템은 비타민C 세럼입니다."" 이 제품은 기미 개선에 효과적이며, 사용자들의 높은 평점과 리뷰 수로 신뢰성을 갖추고 있습니다. 기미로 고민하고 계신다면 이 제품을 사용해 보시길 권장드립니다.",[기미/미백] + [비타민C 고함량] 제품을 찾았는가?,,,,,,,
